uid,text,category,video_path,exists,extension,word,word_id,relation_type,source_csv,example_count,description_count
2Fq4W-J5MZw_w,abuse,word,,0,,abuse,2Fq4W-J5MZw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
2H-t8bYQGUE_w,flexible,word,,0,,flexible,2H-t8bYQGUE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
2ldqLNKUekA_w,character,word,,0,,character,2ldqLNKUekA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
2LUrrdA633g_w,predict,word,,0,,predict,2LUrrdA633g_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
2nJ6ahb45OU_w,buddy,word,,0,,buddy,2nJ6ahb45OU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
2_qktKmVcNQ_w,savvy,word,,0,,savvy,2_qktKmVcNQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
2rrQeCAecbU_w,confine,word,,0,,confine,2rrQeCAecbU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
30weefbWxWs_w,no one,word,,0,,no one,30weefbWxWs_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
3G3wXa7Ax_A_w,company,word,,0,,company,3G3wXa7Ax_A_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
3hAYTF2TKGc_w,redo,word,,0,,redo,3hAYTF2TKGc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
3mMDY-zHiH8_w,ooze,word,,0,,ooze,3mMDY-zHiH8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
3N7i4iMB4_U_w,abash,word,,0,,abash,3N7i4iMB4_U_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
3TOhOciY-v8_w,abduct,word,,0,,abduct,3TOhOciY-v8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
429wv1kvK_c_w,sprinkle,word,,0,,sprinkle,429wv1kvK_c_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
48WUtsrvBYg_w,soothing,word,,0,,soothing,48WUtsrvBYg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
4BiIL375NuQ_w,depend on,word,,0,,depend on,4BiIL375NuQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
4dTj4Awahks_w,vaguely,word,,0,,vaguely,4dTj4Awahks_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
4QYv6IFjNbQ_w,underestimate - 1,word,,0,,underestimate - 1,4QYv6IFjNbQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
4RdjdI90j0M_w,pending,word,,0,,pending,4RdjdI90j0M_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
4uVjzBqNXkE_w,furtively,word,,0,,furtively,4uVjzBqNXkE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
4vfboqjtAXo_w,penchant,word,,0,,penchant,4vfboqjtAXo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
50Qibhk4sD0_w,preoccupied,word,,0,,preoccupied,50Qibhk4sD0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
_52T6uMp5X8_w,rapport,word,,0,,rapport,_52T6uMp5X8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
5dfUuufFLZk_w,military,word,,0,,military,5dfUuufFLZk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
5dQrlNM9QVs_w,amphibious,word,,0,,amphibious,5dQrlNM9QVs_w,word,word-description-dataset_v1.1.csv,0,1
5iIb7JC1mC8_w,quiver,word,,0,,quiver,5iIb7JC1mC8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
5ncS0vBocO0_w,explorer,word,,0,,explorer,5ncS0vBocO0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
5xPTHpYQfeE_w,analysis,word,,0,,analysis,5xPTHpYQfeE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
63BZd84xk-c_w,abroad,word,,0,,abroad,63BZd84xk-c_w,word,word-description-dataset_v1.1.csv,0,1
68GdgKqKsrk_w,issue,word,,0,,issue,68GdgKqKsrk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
69Vvb09Sq5U_w,emanate - 1,word,,0,,emanate - 1,69Vvb09Sq5U_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
6DqUWmPTkHI_w,leave,word,,0,,leave,6DqUWmPTkHI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
6egMMBnQUbY_w,integrate,word,,0,,integrate,6egMMBnQUbY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6_Lnzu1WFPI_w,accomplish,word,,0,,accomplish,6_Lnzu1WFPI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6mb7FlpNvFY_w,deduction,word,,0,,deduction,6mb7FlpNvFY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6MxCP_583q8_w,ancient,word,,0,,ancient,6MxCP_583q8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6nwBq3QX9J0_w,inestimable,word,,0,,inestimable,6nwBq3QX9J0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6qJDRpoe_Yc_w,witty,word,,0,,witty,6qJDRpoe_Yc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
6sFJreYzn1c_w,persecutions,word,,0,,persecutions,6sFJreYzn1c_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
6VINDvdwb_E_w,sustain,word,,0,,sustain,6VINDvdwb_E_w,word,word-description-dataset_v1.1.csv,0,1
6zErcTU0HNQ_w,society,word,,0,,society,6zErcTU0HNQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
72lco2u92iQ_w,exhibition,word,,0,,exhibition,72lco2u92iQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
7PcZoqPll0k_w,majority,word,,0,,majority,7PcZoqPll0k_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
7S-pRkbzQ1I_w,nick,word,,0,,nick,7S-pRkbzQ1I_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
7tK-aXT9AM8_w,menu,word,,0,,menu,7tK-aXT9AM8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
861X7yZmXwU_w,berate,word,,0,,berate,861X7yZmXwU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
8LoVo8y_Oic_w,inconvenience,word,,0,,inconvenience,8LoVo8y_Oic_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
8pwnTDtKBE0_w,towards,word,,0,,towards,8pwnTDtKBE0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
8Ui2qv0zkjA_w,stupid,word,,0,,stupid,8Ui2qv0zkjA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
8WoE12Rn2SE_w,complicated,word,,0,,complicated,8WoE12Rn2SE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
9BKcG6j7LDU_w,vain,word,,0,,vain,9BKcG6j7LDU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
9nv55rJUEkA_w,peevish,word,,0,,peevish,9nv55rJUEkA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
9OAMotf4jFE_w,manufacturer,word,,0,,manufacturer,9OAMotf4jFE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
9pN1y7vMnEg_w,bossy,word,,0,,bossy,9pN1y7vMnEg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
A0Vios3F4H0_w,behalf,word,,0,,behalf,A0Vios3F4H0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
a2oGVqtgvwc_w,exactly,word,,0,,exactly,a2oGVqtgvwc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
a8vtO4iAq6g_w,premises,word,,0,,premises,a8vtO4iAq6g_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
AALbFZ16ms8_w,plausible,word,,0,,plausible,AALbFZ16ms8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
ABZhHI6228g_w,elude - 1,word,,0,,elude - 1,ABZhHI6228g_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
afpdqLzBytI_w,deceptive,word,,0,,deceptive,afpdqLzBytI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
AHaC7ncPHjM_w,diverse,word,,0,,diverse,AHaC7ncPHjM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,5,1
aIpcJDHHlWo_w,anthology,word,,0,,anthology,aIpcJDHHlWo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
AJbqUacnP-g_w,stupendous,word,,0,,stupendous,AJbqUacnP-g_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
AjXeuvRxnL0_w,the wherewithal,word,,0,,the wherewithal,AjXeuvRxnL0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
anCvgjkC1Js_w,giant,word,,0,,giant,anCvgjkC1Js_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
A_ND2Q9fO2s_w,embassy,word,,0,,embassy,A_ND2Q9fO2s_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
AnhTIMU_EzI_w,euro,word,,0,,euro,AnhTIMU_EzI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
a-tA9XP1DTQ_w,imitate,word,,0,,imitate,a-tA9XP1DTQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
atCTXG7PL_E_w,ruminate,word,,0,,ruminate,atCTXG7PL_E_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
aU7Yxmt7Obw_w,argue,word,,0,,argue,aU7Yxmt7Obw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
AVDuEdEExK8_w,implore,word,,0,,implore,AVDuEdEExK8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
azo6kLMV32E_w,nobody,word,,0,,nobody,azo6kLMV32E_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
B2xV05A7TbI_w,add,word,,0,,add,B2xV05A7TbI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
B7idRBMZUvw_w,brawl,word,,0,,brawl,B7idRBMZUvw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BaSt1HrxXq0_w,keep out,word,,0,,keep out,BaSt1HrxXq0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
bb3WuX4Mqo4_w,proficient,word,,0,,proficient,bb3WuX4Mqo4_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BC1eDWKCSpQ_w,eclectic,word,,0,,eclectic,BC1eDWKCSpQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
BGG5x7Qr10A_w,firmly,word,,0,,firmly,BGG5x7Qr10A_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BG__MHnFZgE_w,earful,word,,0,,earful,BG__MHnFZgE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
bGqx2eKgdB0_w,mellow,word,,0,,mellow,bGqx2eKgdB0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BH7-iBjng_8_w,underestimate - 2,word,,0,,underestimate - 2,BH7-iBjng_8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
bJA2HuIKJTQ_w,afraid,word,,0,,afraid,bJA2HuIKJTQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
_bKPoTpqCjI_w,outpouring,word,,0,,outpouring,_bKPoTpqCjI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
bmqS93j8WJ8_w,capable,word,,0,,capable,bmqS93j8WJ8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
BNF2q1Hysj8_w,advantage,word,,0,,advantage,BNF2q1Hysj8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BPkY6fJerkM_w,mechanism,word,,0,,mechanism,BPkY6fJerkM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
BPu7NlTLvnU_w,mere,word,,0,,mere,BPu7NlTLvnU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
bRHRKa5R-bI_w,diplomacy,word,,0,,diplomacy,bRHRKa5R-bI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
brsHudT88m0_w,perpetual,word,,0,,perpetual,brsHudT88m0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BsarjXadUR0_w,laugh at,word,,0,,laugh at,BsarjXadUR0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
Bvu2bvf0Nhw_w,exceed,word,,0,,exceed,Bvu2bvf0Nhw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
BwHKycUKnYM_w,situation,word,,0,,situation,BwHKycUKnYM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
BWpU3Ya3iJo_w,metal,word,,0,,metal,BWpU3Ya3iJo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
BYDhyNP5fK8_w,fatuous,word,,0,,fatuous,BYDhyNP5fK8_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
bZVGRZcLzJE_w,engaged,word,,0,,engaged,bZVGRZcLzJE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
c1KkkUmCbrM_w,petrified,word,,0,,petrified,c1KkkUmCbrM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
C2Y-lifiGVQ_w,talent,word,,0,,talent,C2Y-lifiGVQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
-c5cUfu5gLU_w,amuse,word,,0,,amuse,-c5cUfu5gLU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
CB5Qabozm6w_w,interaction,word,,0,,interaction,CB5Qabozm6w_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
ci_iGsLDZ9w_w,foremost,word,,0,,foremost,ci_iGsLDZ9w_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
cJ0FKENj2P0_w,unfamiliar,word,,0,,unfamiliar,cJ0FKENj2P0_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
CKP94wfySWw_w,meddle,word,,0,,meddle,CKP94wfySWw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
CLSIZPQeWJU_w,meter,word,,0,,meter,CLSIZPQeWJU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
c-mirXvUBoI_w,influence,word,,0,,influence,c-mirXvUBoI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
c-PT1cEougQ_w,adopt,word,,0,,adopt,c-PT1cEougQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
cQHsoQOqsRM_w,abstract,word,,0,,abstract,cQHsoQOqsRM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
CTRMyQvvHgk_w,disturb,word,,0,,disturb,CTRMyQvvHgk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
cUPWJz6KO2c_w,empathy,word,,0,,empathy,cUPWJz6KO2c_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
cVOJIH7mEas_w,excess,word,,0,,excess,cVOJIH7mEas_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
cxZ0S7zefIw_w,abandon,word,,0,,abandon,cxZ0S7zefIw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
CYCMCwZN_vc_w,ankle,word,,0,,ankle,CYCMCwZN_vc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
cZsnmlgNSqY_w,transfer,word,,0,,transfer,cZsnmlgNSqY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
D9O50mQ7vRo_w,bestow,word,,0,,bestow,D9O50mQ7vRo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
DAncSE6TBaA_w,ceo,word,,0,,ceo,DAncSE6TBaA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
DB9Z1FczZoM_w,retain,word,,0,,retain,DB9Z1FczZoM_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
DBktOqTh9Uk_w,enthusiasm,word,,0,,enthusiasm,DBktOqTh9Uk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
DEqpFLzcLXY_w,require,word,,0,,require,DEqpFLzcLXY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
dHEY_4DtsMo_w,defense,word,,0,,defense,dHEY_4DtsMo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
DJdvsTI55Rg_w,consensus,word,,0,,consensus,DJdvsTI55Rg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
DNxiR9b7OOk_w,anger,word,,0,,anger,DNxiR9b7OOk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
dokyT_rJn0o_w,snuggle,word,,0,,snuggle,dokyT_rJn0o_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
DqMYRnRJ94E_w,survive,word,,0,,survive,DqMYRnRJ94E_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,5,1
dqSzE5KFNZA_w,already,word,,0,,already,dqSzE5KFNZA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
Dt9aqWLkAnI_w,belong to,word,,0,,belong to,Dt9aqWLkAnI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
-du0Sljs6fg_w,expose,word,,0,,expose,-du0Sljs6fg_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
DvcwO5iqUlA_w,whisper,word,,0,,whisper,DvcwO5iqUlA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,2,1
dVLZa2PQEII_w,scowl,word,,0,,scowl,dVLZa2PQEII_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,3,1
_dwG7oAYTWo_w,necessity,word,,0,,necessity,_dwG7oAYTWo_w,defines_word|word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,6
e66CYnJ_Oxs_w,mission,word,,0,,mission,e66CYnJ_Oxs_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
Efx9Z-mQGHw_w,afford,word,,0,,afford,Efx9Z-mQGHw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
eie6yTNbN4k_w,burden,word,,0,,burden,eie6yTNbN4k_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
eiL5yM0oUqc_w,eloquence,word,,0,,eloquence,eiL5yM0oUqc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
ekLLpYdKPsY_w,eccentric,word,,0,,eccentric,ekLLpYdKPsY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
eMuNhD-cV_o_w,mental,word,,0,,mental,eMuNhD-cV_o_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
eMWPveqzDsE_w,construed,word,,0,,construed,eMWPveqzDsE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
EPNiDVjb9dA_w,beyond,word,,0,,beyond,EPNiDVjb9dA_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
e-QGcgqMfKE_w,calligraphy,word,,0,,calligraphy,e-QGcgqMfKE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
eSuhRYLOqPw_w,native,word,,0,,native,eSuhRYLOqPw_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
F0kiWvgS_Mo_w,employ,word,,0,,employ,F0kiWvgS_Mo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
F4s2N8TarlU_w,prominent,word,,0,,prominent,F4s2N8TarlU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
f6Iw1o3XV14_w,annoy,word,,0,,annoy,f6Iw1o3XV14_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
F6VCtv2uMzY_w,raconteur,word,,0,,raconteur,F6VCtv2uMzY_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
F7hqMlZEL_E_w,choke up,word,,0,,choke up,F7hqMlZEL_E_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
fcwVXkPLpgU_w,shrewd,word,,0,,shrewd,fcwVXkPLpgU_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
FDJaEKvAQdc_w,message,word,,0,,message,FDJaEKvAQdc_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
FFAtBcMZ44Y_w,quote,word,,0,,quote,FFAtBcMZ44Y_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
fHagURBiKXE_w,upright,word,,0,,upright,fHagURBiKXE_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,5,1
fhND7fBEQZo_w,bulk,word,,0,,bulk,fhND7fBEQZo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
FJA9G_Rs3ow_w,sacrifice,word,,0,,sacrifice,FJA9G_Rs3ow_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
fL4hxu29Mr4_w,wail,word,,0,,wail,fL4hxu29Mr4_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
FmWH_7DnOAo_w,chillax,word,,0,,chillax,FmWH_7DnOAo_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
Fpg5dgFQofk_w,each,word,,0,,each,Fpg5dgFQofk_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,1,1
FQMfuZZB4VI_w,remorse,word,,0,,remorse,FQMfuZZB4VI_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
FRLkJ9K3sVQ_w,impel,word,,0,,impel,FRLkJ9K3sVQ_w,word,word-description-dataset_v1.1.csv|word-presence-dataset_v1.1.csv,4,1
